,,,,,,,,,,,,,,,,,,,,,,,,,Move samples,,,,,,,,,,
Activity,StartTime [ISO8601],Duration [s],Calories,Distance [m],HrAvg,Latitude,Longitude,SpeedAvg [km/h],TE,AscentAltitude,AscentTime,DescentAltitude,DescentTime,FlatTime,HighAltitude,LowAltitude,HrMin,HrPeak,SpeedMax,TemperatureAvg,TemperatureMax,TemperatureMin,SampleInterval,Device,LocalTime,Altitude,Distance,EnergyConsumption,HeartRate,SeaLevelPressure,Speed,Temperature,VerticalSpeed,,IBI
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:06,1638,178,14.4,141,1015,2.3,29.4,-0.1,,467
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:07,1638,180,14.4,141,1015,2.3,29.4,-0.1,,467
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:08,1638,182,14.4,142,1015,2.3,29.4,-0.1,,460
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:09,1638,185,14.4,143,1015,2.4,29.4,-0.1,,455
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:10,1638,187,14.4,143,1015,2.4,29.4,-0.1,,453
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:11,1638,189,14.4,142,1015,2.3,29.4,-0.1,,448
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:12,1638,192,14.4,141,1015,2.4,29.4,-0.1,,449
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:13,1638,195,14.4,139,1015,2.4,29.4,-0.1,,447
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:14,1638,198,14.5,139,1015,2.4,29.4,-0.1,,444
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:15,1638,200,14.5,139,1015,2.5,29.4,-0.1,,442
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:16,1638,203,14.5,139,1015,2.5,29.4,-0.1,,445
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:17,1638,206,14.5,141,1015,2.5,29.4,-0.1,,440
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:18,1638,209,14.5,141,1015,2.6,29.4,-0.1,,440
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:19,1638,212,14.5,142,1015,2.6,29.4,-0.1,,444
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:20,1637,214,14.5,142,1015,2.6,29.3,-0.1,,439
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:21,1637,217,14.5,142,1015,2.6,29.3,-0.1,,440
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:22,1637,219,14.5,142,1015,2.6,29.3,-0.1,,441
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:23,1637,222,14.5,141,1015,2.6,29.3,-0.1,,440
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:24,1637,225,14.6,142,1015,2.6,29.3,-0.1,,439
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:25,1637,227,14.6,142,1015,2.6,29.3,-0.1,,440
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:26,1637,230,14.6,142,1015,2.6,29.3,-0.1,,437
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:27,1637,232,14.6,142,1015,2.6,29.3,-0.1,,437
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:28,1637,235,14.6,143,1015,2.6,29.3,-0.1,,437
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:29,1637,238,14.6,143,1015,2.6,29.3,-0.1,,434
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:30,1637,241,14.6,143,1015,2.6,29.3,-0.1,,436
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:31,1637,243,14.6,142,1015,2.6,29.3,-0.1,,435
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:32,1637,246,14.6,142,1015,2.6,29.3,-0.1,,434
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:33,1637,249,14.6,142,1015,2.6,29.3,-0.1,,432
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:34,1637,251,14.7,142,1015,2.6,29.3,-0.1,,436
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:35,1637,254,14.7,143,1015,2.6,29.3,-0.1,,435
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:36,1637,256,14.7,143,1015,2.6,29.3,0,,432
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:37,1637,258,14.7,144,1015,2.6,29.3,0,,435
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:38,1637,261,14.7,145,1015,2.6,29.3,0,,435
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:39,1637,264,14.7,145,1015,2.6,29.3,0,,433
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:40,1636,267,14.7,144,1015,2.6,29.3,0,,435
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:41,1636,269,14.7,144,1015,2.6,29.3,0,,434
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:42,1636,272,14.7,144,1015,2.6,29.3,0,,430
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:43,1636,275,14.7,145,1015,2.6,29.3,0,,431
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:44,1636,277,15.1,146,1015,2.6,29.3,0,,435
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:45,1636,279,15.1,146,1015,2.6,29.3,0,,431
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:46,1636,282,15.1,145,1015,2.6,29.3,0,,432
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:47,1636,284,15.1,144,1015,2.5,29.3,0,,432
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:48,1636,286,15.1,143,1015,2.5,29.3,0,,431
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:49,1636,289,15.1,144,1015,2.5,29.3,0,,429
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:50,1636,292,15.1,144,1015,2.6,29.3,0,,435
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:51,1636,294,15.1,145,1015,2.6,29.3,-0.1,,440
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:52,1636,297,15.1,147,1015,2.6,29.3,-0.1,,442
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:53,1636,300,15.1,148,1015,2.6,29.3,-0.1,,441
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:54,1636,302,15.7,148,1015,2.5,29.3,-0.1,,441
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:55,1636,305,15.7,147,1015,2.6,29.3,-0.1,,444
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:56,1636,307,15.7,148,1015,2.6,29.3,-0.1,,441
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:57,1636,310,15.7,148,1015,2.6,29.3,-0.1,,440
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:58,1636,313,15.7,148,1015,2.6,29.3,-0.1,,442
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:16:59,1636,316,15.7,149,1015,2.6,29.3,-0.1,,441
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:00,1636,318,15.7,149,1015,2.6,29.3,-0.1,,435
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:01,1636,321,15.7,149,1015,2.6,29.3,-0.1,,434
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:02,1636,323,15.7,149,1015,2.6,29.3,-0.1,,434
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:03,1636,326,15.7,149,1015,2.7,29.3,-0.1,,433
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:04,1636,329,16,149,1015,2.7,29.3,-0.1,,434
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:05,1636,332,16,150,1015,2.7,29.3,-0.1,,436
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:06,1636,336,16,151,1015,2.7,29.3,0,,433
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:07,1636,338,16,151,1015,2.7,29.3,0,,435
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:08,1636,341,16,150,1015,2.7,29.3,0,,435
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:09,1636,343,16,149,1015,2.7,29.3,0,,436
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:10,1636,345,16,149,1015,2.7,29.2,0,,430
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:11,1636,348,16,149,1015,2.6,29.2,0,,429
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:12,1636,351,16,149,1015,2.7,29.2,0,,431
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:13,1636,353,16,149,1015,2.7,29.2,0,,426
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:14,1636,356,16.1,149,1015,2.7,29.2,0,,426
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:15,1636,359,16.1,149,1015,2.7,29.2,0,,426
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:16,1636,361,16.1,149,1015,2.7,29.2,0,,422
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:17,1636,364,16.1,149,1015,2.6,29.2,0,,420
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:18,1636,367,16.1,150,1015,2.7,29.2,0,,419
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:19,1636,369,16.1,151,1015,2.7,29.2,0,,423
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:20,1636,372,16.1,151,1015,2.7,29.2,0,,420
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:21,1636,375,16.1,151,1015,2.7,29.2,0,,421
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:22,1636,378,16.1,150,1015,2.7,29.2,0,,423
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:23,1636,378,16.1,150,1015,2.7,29.2,0,,422
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:24,1636,378,16.2,150,1015,2.7,29.2,0,,420
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:25,1636,378,16.2,149,1015,2.7,29.2,0,,423
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:26,1636,378,16.2,149,1015,2.7,29.2,0,,427
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:27,1636,378,16.2,148,1015,2.7,29.2,0,,427
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:28,1636,378,16.2,148,1015,2.6,29.2,0,,428
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:29,1636,378,16.2,148,1015,2.6,29.2,0,,428
,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-31 19:17:30,1635,378,16.2,149,1015,2.6,29.2,0,,431
